,city,country,latitude,longitude,temperature
0,Aalborg,Denmark,57.03,9.92,7.52
1,Aberdeen,United Kingdom,57.17,-2.08,8.1
2,Abisko,Sweden,63.35,18.83,0.2
3,Adana,Turkey,36.99,35.32,18.67
4,Albacete,Spain,39.0,-1.87,12.62
5,Algeciras,Spain,36.13,-5.47,17.38
6,Amiens,France,49.9,2.3,10.17
7,Amsterdam,Netherlands,52.35,4.92,8.93
8,Ancona,Italy,43.6,13.5,13.52
9,Andorra,Andorra,42.5,1.52,9.6
10,Angers,France,47.48,-0.53,10.98
11,Ankara,Turkey,39.93,32.86,9.86
12,Antalya,Turkey,36.89,30.7,11.88
13,Arad,Romania,46.17,21.32,9.32
14,Athens,Greece,37.98,23.73,17.41
15,Augsburg,Germany,48.35,10.9,4.54
16,Bacau,Romania,46.58,26.92,7.51
17,Badajoz,Spain,38.88,-6.97,15.61
18,Baia Mare,Romania,47.66,23.58,8.87
19,Balti,Moldova,47.76,27.91,8.23
20,Barcelona,Spain,41.38,2.18,15.78
21,Bari,Italy,41.11,16.87,15.15
22,Basel,Switzerland,47.58,7.59,6.68
23,Batman,Turkey,37.89,41.14,14.16
24,Belfast,United Kingdom,54.6,-5.96,8.48
25,Belgrade,Serbia,44.82,20.47,9.85
26,Bergamo,Italy,45.7,9.67,9.12
27,Bergen,Norway,60.39,5.32,1.75
28,Berlin,Germany,52.52,13.4,8.72
29,Bialystok,Poland,53.15,23.17,6.07
30,Bielefeld,Germany,52.03,8.53,8.78
31,Bila Tserkva,Ukraine,49.77,30.13,6.98
32,Bilbao,Spain,43.25,-2.93,11.41
33,Birmingham,United Kingdom,52.47,-1.92,8.81
34,Blackpool,United Kingdom,53.83,-3.05,9.15
35,Bodo,Norway,67.25,14.4,4.5
36,Bologna,Italy,44.5,11.34,11.69
37,Bonn,Germany,50.72,7.08,8.63
38,Bordeaux,France,44.85,-0.6,11.87
39,Botosani,Romania,47.75,26.66,8.23
40,Bournemouth,United Kingdom,50.73,-1.9,9.97
41,Bradford,United Kingdom,53.8,-1.75,8.39
42,Braga,Portugal,41.55,-8.42,13.42
43,Braila,Romania,45.29,27.97,9.78
44,Bratislava,Slovakia,48.15,17.12,9.65
45,Bremen,Germany,53.08,8.8,8.14
46,Brest,France,48.39,-4.5,11.02
47,Brest,Belarus,52.1,23.7,6.73
48,Brno,Czech Republic,49.2,16.61,7.86
49,Brugge,Belgium,51.22,3.23,9.65
50,Bucharest,Romania,44.43,26.1,10.59
51,Budapest,Hungary,47.5,19.08,9.55
52,Burgas,Bulgaria,42.51,27.47,11.93
53,Burgos,Spain,42.35,-3.68,10.45
54,Bursa,Turkey,40.2,29.07,11.16
55,Bydgoszcz,Poland,53.12,18.01,7.14
56,Bytom,Poland,50.35,18.91,7.66
57,Caen,France,49.18,-0.35,9.96
58,Cambridge,United Kingdom,52.2,0.12,9.25
59,Cartagena,Spain,37.6,-0.98,17.32
60,Catania,Italy,37.5,15.08,15.04
61,Chemnitz,Germany,50.83,12.92,8.05
62,Cherkasy,Ukraine,49.43,32.07,7.19
63,Chernihiv,Ukraine,51.5,31.3,5.92
64,Chernivtsi,Ukraine,48.31,25.92,7.06
65,Chisinau,Moldova,47.01,28.86,8.6
66,Constanta,Romania,44.2,28.61,11.24
67,Cork,Ireland,51.9,-8.5,9.41
68,Cosenza,Italy,39.27,16.29,16.6
69,Craiova,Romania,44.33,23.83,10.51
70,Daugavpils,Latvia,55.88,26.51,5.38
71,Debrecen,Hungary,47.53,21.63,8.87
72,Denizli,Turkey,37.77,29.08,15.02
73,Dijon,France,47.33,5.03,8.69
74,Dublin,Ireland,53.33,-6.25,8.49
75,Dundee,United Kingdom,56.47,-3.0,6.4
76,Edinburgh,United Kingdom,55.95,-3.22,7.43
77,Edirne,Turkey,41.67,26.57,10.9
78,Elbasan,Albania,41.12,20.08,15.18
79,Elblag,Poland,54.19,19.4,6.68
80,Erfurt,Germany,50.97,11.03,7.4
81,Erzincan,Turkey,39.75,39.49,8.67
82,Erzurum,Turkey,39.92,41.29,5.17
83,Eskisehir,Turkey,39.79,30.53,11.11
84,Exeter,United Kingdom,50.7,-3.53,10.14
85,Foggia,Italy,41.46,15.56,13.83
86,Frankfurt,Germany,50.1,8.68,7.98
87,Freiburg,Germany,48.0,7.87,6.68
88,Galway,Ireland,53.27,-9.05,10.0
89,Gaziantep,Turkey,37.07,37.38,13.46
90,Geneva,Switzerland,46.21,6.14,8.4
91,Genoa,Italy,44.41,8.93,12.94
92,Glasgow,United Kingdom,55.87,-4.25,8.6
93,Göteborg,Sweden,57.75,12.0,5.76
94,Granada,Spain,37.16,-3.59,16.33
95,Graz,Austria,47.08,15.41,6.91
96,Grenoble,France,45.18,5.72,8.4
